,age,date,district,city,perpetrator_en_new,excuses_cat
288,24.0,27/12/2016,Merkez, Van,partner,Unknown
289,38.0,23/12/2016,Melikgazi, Kayseri,partner,Other
290,35.0,22/12/2016,Tarsus, Mersin,partner,Separation & Jealousy
291,22.0,18/12/2016,Tire, İzmir,partner,Other
292,68.0,17/12/2016,Merkez, Yalova,partner,Other
293,45.0,17/12/2016,Merkez, Yalova,partner,Separation & Jealousy
294,23.0,17/12/2016,Serik, Antalya,partner,Separation & Jealousy
295,,16/12/2016,Hazro, Diyarbakır,son,Unknown
296,18.0,10/12/2016,Gerede, Bolu,ex-partner,Separation & Jealousy
297,22.0,9/12/2016,Kağıthane, Istanbul,partner,Separation & Jealousy
298,27.0,7/12/2016,Sarıçam, Adana,attacker,Other
299,21.0,7/12/2016,Seyhan, Adana,partner,Masculinity&Honor
300,25.0,3/12/2016,Gemlik, Bursa,known man,Separation & Jealousy
301,28.0,3/12/2016,Merkez, Kütahya,partner,Separation & Jealousy
302,,30/11/2016,Bandırma, Balıkesir,son,Other
303,34.0,27/11/2016,Gömeç, Balıkesir,partner,Unknown
304,48.0,25/11/2016,Bodrum, Muğla,boyfriend,Masculinity&Honor
305,49.0,24/11/2016,Tepebaşı, Eskişehir,partner,Masculinity&Honor
306,37.0,20/11/2016,Sarıçam, Adana,partner,Other
307,22.0,19/11/2016,Sancaktepe, Istanbul,partner,Other
308,24.0,18/11/2016,Merkez, Elazığ,partner,Unknown
309,37.0,17/11/2016,Karabağlar, İzmir,ex-partner,Unknown
310,32.0,17/11/2016,Karatay, Konya,ex-partner,Separation & Jealousy
311,71.0,17/11/2016,Karatay, Konya,relative,Other
312,36.0,13/11/2016,Karapınar, Konya,boyfriend,Unknown
313,38.0,12/11/2016,Kemer, Antalya,partner,Unknown
314,31.0,10/11/2016,Gaziosmanpaşa, Istanbul,boyfriend,Separation & Jealousy
315,43.0,10/11/2016,Fatsa, Ordu,son,Unknown
316,45.0,7/11/2016,Yüreğir, Adana,partner,Separation & Jealousy
317,24.0,6/11/2016,Melikgazi, Kayseri,partner,Separation & Jealousy
318,20.0,3/11/2016,İslahiye, Gaziantep,partner,Other
319,63.0,3/11/2016,Bolvadin, Afyonkarahisar,attacker,Other
320,29.0,2/11/2016,Şehitkâmil, Gaziantep,partner,Other
321,26.0,28/10/2016,Merkez, Erzincan,partner,Unknown
322,50.0,27/10/2016,Akkuş, Ordu,partner,Unknown
323,22.0,26/10/2016,Eyüp, Istanbul,ex-partner,Children
324,29.0,25/10/2016,Kaş, Antalya,boyfriend,Separation & Jealousy
325,30.0,23/10/2016,Karabağlar, İzmir,ex-partner,Masculinity&Honor
326,29.0,17/10/2016,Merkez, Van,partner,Unknown
327,66.0,17/10/2016,Bigadiç, Balıkesir,boyfriend,Other
328,4.0,14/10/2016,Alaşehir, Manisa,attacker,Sexual expectation
329,20.0,14/10/2016,Turhal, Tokat,partner,Separation & Jealousy
330,17.0,11/10/2016,Merkez, Şanlıurfa,brother,Masculinity&Honor
331,35.0,11/10/2016,Pendik, Istanbul,ex-partner,Unknown
332,44.0,11/10/2016,Burhaniye, Balıkesir,known man,Unknown
333,22.0,9/10/2016,Didim, Aydın,partner,Separation & Jealousy
334,45.0,9/10/2016,Didim, Aydın,partner,Other
335,44.0,8/10/2016,Ortaca, Muğla,ex-partner,Separation & Jealousy
336,36.0,8/10/2016,Toroslar, Mersin,partner,Other
337,82.0,7/10/2016,Kadirli, Osmaniye,son,Other
338,38.0,6/10/2016,Kartal, Istanbul,partner,Separation & Jealousy
339,20.0,6/10/2016,Merkez, Trabzon,ex-partner,Other
340,27.0,5/10/2016,Merkez, Şanlıurfa,partner,Separation & Jealousy
341,30.0,4/10/2016,Tepebaşı, Eskişehir,partner,Woman Decision and Preferences
342,41.0,1/10/2016,Doğanşehir, Malatya,partner,Unknown
343,,1/10/2016,Merkez, Çorum,partner,Unknown
344,33.0,30/09/2016,Çankaya, Ankara,partner,Separation & Jealousy
345,70.0,29/09/2016,Merkez, Bolu,partner,Other
346,18.0,28/09/2016,Bergama, İzmir,ex-partner,Unknown
347,17.0,27/09/2016,Serik, Antalya,known man,Separation & Jealousy
348,35.0,26/09/2016,Beyoğlu, Istanbul,boyfriend,Unknown
349,22.0,21/09/2016,Yeşilyurt, Malatya,partner,Masculinity&Honor
350,37.0,21/09/2016,Tavşanlı, Kütahya,ex-partner,Unknown
351,62.0,21/09/2016,İskilip, Çorum,partner,Other
352,29.0,20/09/2016,Altındağ, Ankara,partner,Separation & Jealousy
353,22.0,19/09/2016,Akdeniz, Mersin,relative,Unknown
354,39.0,19/09/2016,Şahinbey, Gaziantep,ex-partner,Masculinity&Honor
355,18.0,18/09/2016,Nilüfer, Bursa,known man,Separation & Jealousy
356,27.0,17/09/2016,Polatlı, Ankara,partner,Unknown
