,age,date,prov_name,perpetrator_en_new,excuses_cat
380,17,8/5/2016, eskisehir,attacker,Sexual expectation
381,42,8/4/2016, konya,partner,Unknown
382,6,8/4/2016, konya,father,Unknown
383,73,8/3/2016, duzce,son,Other
384,45,8/3/2016, duzce,brother,Other
385,17,8/3/2016, batman,brother,Woman Decision and Preferences
386,45,7/23/2016, burdur,brother,Other
387,35,7/23/2016, van,partner,Woman Decision and Preferences
388,,7/18/2016, mardin,partner,Other
389,,7/18/2016, mardin,relative,Other
390,88,7/17/2016, sanliurfa,partner,Unknown
391,54,7/14/2016, bayburt,known man,Unknown
392,41,7/13/2016, karaman,partner,Fight
393,32,7/12/2016, ankara,partner,Unknown
394,25,7/12/2016, i̇zmir,boyfriend,Unknown
395,50,7/12/2016, kirikkale,partner,Other
396,5,7/11/2016, antalya,relative,Other
397,31,7/11/2016, kayseri,partner,Other
398,45,7/11/2016, antalya,partner,Fight
399,39,7/10/2016, bursa,known man,Separation & Jealousy
400,30,7/9/2016, adana,partner,Other
401,45,7/7/2016, giresun,ex-partner,Unknown
402,47,7/7/2016, mersin,partner,Masculinity&Honor
403,49,7/5/2016, kocaeli,known man,Other
404,24,7/4/2016, konya,boyfriend,Unknown
405,42,7/2/2016, antalya,partner,Unknown
406,57,6/27/2016, kocaeli,partner,Masculinity&Honor
407,12,6/25/2016, yalova,relative,Sexual expectation
408,27,6/23/2016, kocaeli,partner,Separation & Jealousy
409,33,6/23/2016, gaziantep,relative,Other
410,30,6/23/2016, mugla,partner,Woman Decision and Preferences
411,34,6/22/2016, ankara,partner,Other
412,31,6/20/2016, antalya,partner,Unknown
413,32,6/19/2016, gaziantep,partner,Separation & Jealousy
415,29,6/16/2016, istanbul,known man,Unknown
416,60,6/15/2016, i̇zmir,ex-partner,Other
417,35,6/15/2016, elazig,partner,Unknown
418,21,6/15/2016, istanbul,partner,Separation & Jealousy
419,23,6/14/2016, igdir,ex-partner,Unknown
420,68,6/13/2016, i̇zmir,attacker,Other
421,61,6/13/2016, istanbul,partner,Other
422,30,6/12/2016, mugla,ex-partner,Unknown
423,3,6/8/2016, mersin,father,Unknown
424,30,6/8/2016, mersin,partner,Unknown
425,26,6/7/2016, sakarya,partner,Separation & Jealousy
426,54,6/2/2016, antalya,partner,Unknown
427,22,5/31/2016, van,partner,Separation & Jealousy
428,26,5/31/2016, ankara,partner,Other
429,20,5/30/2016, eskisehir,partner,Unknown
430,24,5/29/2016, balikesir,ex-partner,Unknown
431,29,5/28/2016, mugla,ex-partner,Masculinity&Honor
432,40,5/28/2016, istanbul,known man,Other
433,41,5/27/2016, adana,boyfriend,Separation & Jealousy
434,,5/25/2016, samsun,known man,Unknown
435,35,5/21/2016, trabzon,partner,Masculinity&Honor
436,41,5/14/2016, mugla,boyfriend,Unknown
437,30,5/11/2016, edirne,ex-partner,Other
439,67,5/11/2016, i̇zmir,relative,Unknown
440,33,5/8/2016, igdir,partner,Woman Decision and Preferences
441,33,5/6/2016, istanbul,partner,Separation & Jealousy
442,43,5/4/2016, istanbul,son,Masculinity&Honor
443,19,5/1/2016, igdir,partner,Separation & Jealousy
444,36,4/29/2016, istanbul,boyfriend,Other
445,49,4/29/2016, karabuk,partner,Separation & Jealousy
446,23,4/28/2016, i̇zmir,partner,Separation & Jealousy
447,25,4/27/2016, adana,brother,Masculinity&Honor
448,27,4/26/2016, ankara,ex-partner,Unknown
449,27,4/25/2016, antalya,partner,Other
450,22,4/19/2016, denizli,boyfriend,Separation & Jealousy
451,55,4/18/2016, i̇zmir,relative,Unknown
452,66,4/17/2016, bursa,partner,Unknown
453,25,4/14/2016, gaziantep,brother,Masculinity&Honor
454,75,4/14/2016, kocaeli,son,Other
455,30,4/13/2016, elazig,partner,Separation & Jealousy
456,39,4/13/2016, kocaeli,boyfriend,Unknown
457,33,4/11/2016, i̇zmir,partner,Unknown
458,36,4/11/2016, gaziantep,partner,Unknown
459,6,4/10/2016, istanbul,relative,Sexual expectation
460,33,4/9/2016, mersin,ex-partner,Unknown
461,43,4/4/2016, kayseri,partner,Separation & Jealousy
462,52,4/2/2016, istanbul,brother,Fight
463,33,3/31/2016, konya,boyfriend,Other
464,37,3/30/2016, sanliurfa,boyfriend,Unknown
465,45,3/29/2016, manisa,partner,Other
466,41,3/29/2016, istanbul,known man,Sexual expectation
467,31,3/28/2016, erzurum,ex-partner,Separation & Jealousy
468,76,3/23/2016, istanbul,relative,Other
469,52,3/23/2016, aydin,partner,Other
470,35,3/20/2016, tekirdag,known man,Other
471,,3/18/2016, ankara,ex-partner,Separation & Jealousy
472,,3/18/2016, ankara,ex-partner,Masculinity&Honor
473,17,3/17/2016, i̇zmir,ex-partner,Masculinity&Honor
474,51,3/15/2016, trabzon,partner,Unknown
475,18,3/15/2016, trabzon,father,Unknown
476,21,3/12/2016, usak,partner,Unknown
477,31,3/9/2016, gaziantep,brother,Other
478,18,3/8/2016, hakkâri,relative,Other
479,16,3/8/2016, hakkâri,relative,Other
480,31,3/8/2016, sanliurfa,son,Unknown
481,47,3/8/2016, i̇zmir,boyfriend,Other
482,5,3/8/2016, hakkâri,father,Other
483,27,3/7/2016, istanbul,partner,Separation & Jealousy
484,55,3/7/2016, i̇zmir,partner,Separation & Jealousy
485,28,3/6/2016, istanbul,partner,Separation & Jealousy
486,39,3/6/2016, zonguldak,boyfriend,Separation & Jealousy
487,57,3/6/2016, zonguldak,known man,Other
488,31,3/6/2016, istanbul,known man,Unknown
489,20,3/5/2016, adana,brother,Woman Decision and Preferences
490,52,3/2/2016, kocaeli,partner,Unknown
491,66,3/1/2016, kocaeli,partner,Other
492,47,3/1/2016, kocaeli,partner,Separation & Jealousy
493,45,2/26/2016, i̇zmir,ex-partner,Separation & Jealousy
494,47,2/25/2016, tokat,known man,Other
495,23,2/24/2016, zonguldak,attacker,Unknown
496,23,2/23/2016, bartin,partner,Separation & Jealousy
497,24,2/22/2016, istanbul,partner,Separation & Jealousy
498,29,2/16/2016, amasya,known man,Separation & Jealousy
499,25,2/15/2016, adana,known man,Separation & Jealousy
500,31,2/15/2016, diyarbakir,boyfriend,Separation & Jealousy
501,25,2/14/2016, istanbul,partner,Other
502,52,2/12/2016, denizli,attacker,Unknown
503,16,2/11/2016, aksaray,boyfriend,Separation & Jealousy
504,33,2/9/2016, sanliurfa,partner,Unknown
505,21,2/5/2016, gaziantep,partner,Separation & Jealousy
506,13,2/5/2016, gaziantep,relative,Other
507,20,2/5/2016, ankara,relative,Other
508,48,2/5/2016, gaziantep,relative,Other
509,35,2/5/2016, istanbul,partner,Fight
510,22,2/5/2016, gaziantep,relative,Other
511,40,2/5/2016, ankara,relative,Other
512,36,2/5/2016, gaziantep,relative,Other
513,48,2/4/2016, antalya,partner,Unknown
514,31,2/3/2016, adana,brother,Masculinity&Honor
515,50,2/3/2016, bursa,partner,Masculinity&Honor
516,22,2/1/2016, kastamonu,partner,Unknown
517,34,1/30/2016, istanbul,partner,Separation & Jealousy
518,40,1/30/2016, istanbul,known man,Separation & Jealousy
519,22,1/28/2016, yozgat,partner,Other
520,20,1/28/2016, kocaeli,partner,Separation & Jealousy
521,18,1/27/2016, ankara,father,Unknown
522,45,1/27/2016, ankara,partner,Unknown
523,16,1/24/2016, elazig,relative,Fight
524,33,1/20/2016, antalya,partner,Separation & Jealousy
525,53,1/20/2016, isparta,son,Other
526,15,1/20/2016, balikesir,boyfriend,Masculinity&Honor
527,67,1/20/2016, samsun,son,Other
528,,1/20/2016, isparta,known man,Other
529,63,1/20/2016, batman,relative,Other
530,46,1/19/2016, artvin,partner,Other
531,84,1/19/2016, konya,attacker,Other
532,60,1/18/2016, gaziantep,partner,Other
533,26,1/15/2016, aydin,boyfriend,Separation & Jealousy
534,37,1/15/2016, duzce,son,Woman Decision and Preferences
535,30,1/15/2016, kocaeli,partner,Separation & Jealousy
536,31,1/14/2016, i̇zmir,ex-partner,Unknown
537,49,1/9/2016, corum,son,Other
538,19,1/8/2016, adana,father,Other
539,26,1/7/2016, bursa,ex-partner,Masculinity&Honor
540,27,1/7/2016, zonguldak,boyfriend,Unknown
541,35,1/6/2016, rize,known man,Sexual expectation
542,26,1/4/2016, i̇zmir,known man,Other
543,23,1/3/2016, batman,boyfriend,Unknown
