,prov_code,year,all_wm_prov,knows_wm_prov,total_pop,ethnic_turkish,ethnic_kurdish,ln_casualty,ln_gdppc_cons,divorce_rate_ma5,mosques_perk,ceasefire,fm_diff_educ,count,pol_attitude
161,21,2011,3.0,3.0,1570943.0,13.518223,86.48177,7.5299435,3.8511007,0.372,1.1209828,0,-0.105744764,3.0,0.0
162,21,2012,7.0,7.0,1592167.0,13.518223,86.48177,7.5299435,3.8881574,0.392,1.2216055,0,-0.10279806,7.0,0.0
163,21,2013,10.0,10.0,1607437.0,13.518223,86.48177,7.5299435,3.9431145,0.426,1.223065,1,-0.09982729,10.0,0.0
164,21,2014,4.0,4.0,1635048.0,13.518223,86.48177,7.5299435,3.959482,0.45,1.2036344,1,-0.10052511,4.0,0.0
165,21,2015,7.0,7.0,1654196.0,13.518223,86.48177,7.5299435,4.004107,0.464,1.2114646,0,-0.09839186,7.0,0.0
166,21,2016,3.0,3.0,1673119.0,13.518223,86.48177,7.5299435,4.0304484,0.466,1.2019467,0,-0.09557715,3.0,0.0
167,21,2017,5.0,5.0,1699901.0,13.518223,86.48177,7.5299435,4.0682225,0.47,1.1912458,0,-0.09479064,5.0,0.0
168,22,2010,2.0,2.0,390428.0,78.87033,0.0,0.0,4.438927,1.462,0.99890375,0,-0.059556708,2.0,114.2
169,22,2011,1.0,1.0,399316.0,78.87033,0.0,0.0,4.476826,1.526,0.9766701,0,-0.06701583,1.0,114.2
171,22,2013,2.0,2.0,398582.0,78.87033,0.0,0.0,4.529111,1.612,0.9809776,1,-0.06211579,2.0,73.8
172,22,2014,3.0,3.0,400280.0,78.87033,0.0,0.0,4.5668097,1.622,0.99180573,1,-0.06655297,3.0,73.8
173,22,2015,2.0,2.0,402537.0,78.87033,0.0,0.0,4.5807457,1.628,0.98624474,0,-0.061444998,2.0,73.8
174,22,2016,2.0,2.0,401701.0,78.87033,0.0,0.0,4.6015344,1.65,1.0007443,0,-0.071741104,2.0,73.8
175,22,2017,2.0,2.0,406855.0,78.87033,0.0,0.0,4.617132,1.632,0.9905249,0,-0.06677821,2.0,89.74
177,23,2011,4.0,4.0,558556.0,52.16184,47.83816,5.3375382,4.171932,1.076,1.6954433,0,-0.15038322,4.0,-95.6
178,23,2012,2.0,2.0,562703.0,52.16184,47.83816,5.3375382,4.2104135,1.054,1.7149366,0,-0.14963853,2.0,-95.6
179,23,2013,3.0,3.0,568239.0,52.16184,47.83816,5.3375382,4.238261,1.108,1.708788,1,-0.14652725,3.0,-111.6
180,23,2014,1.0,1.0,568753.0,52.16184,47.83816,5.3375382,4.248102,1.132,1.6984526,1,-0.14656226,1.0,-111.6
181,23,2015,1.0,1.0,574304.0,52.16184,47.83816,5.3375382,4.2946377,1.124,1.682036,0,-0.15082319,1.0,-111.6
182,23,2016,4.0,4.0,578789.0,52.16184,47.83816,5.3375382,4.320339,1.114,1.6949182,0,-0.14964724,4.0,-111.6
183,23,2017,2.0,2.0,583671.0,52.16184,47.83816,5.3375382,4.360137,1.1,1.6944478,0,-0.14547259,2.0,-80.76
184,24,2010,1.0,1.0,224949.0,74.11515,25.884853,5.0238805,4.3327394,1.05,2.4672258,0,-0.13605244,1.0,-102.6
186,24,2012,1.0,1.0,217886.0,74.11515,25.884853,5.0238805,4.5625615,1.076,2.593099,0,-0.12949583,1.0,-102.6
187,24,2013,2.0,2.0,219996.0,74.11515,25.884853,5.0238805,4.567525,1.126,2.5955017,1,-0.13199343,2.0,-109.4
189,24,2015,1.0,1.0,222918.0,74.11515,25.884853,5.0238805,4.5461855,1.146,2.579424,0,-0.1291135,1.0,-109.4
190,24,2016,1.0,1.0,226032.0,74.11515,25.884853,5.0238805,4.5718765,1.13,2.5483117,0,-0.121268034,1.0,-109.4
192,25,2010,1.0,1.0,769085.0,89.91422,10.085778,4.727388,3.966271,0.438,1.9490694,0,-0.12461251,1.0,-113.6
194,25,2012,1.0,1.0,778195.0,89.91422,10.085778,4.727388,4.0680137,0.506,1.9879336,0,-0.13000569,1.0,-113.6
195,25,2013,2.0,2.0,766729.0,89.91422,10.085778,4.727388,4.1279407,0.538,2.0359213,1,-0.12804809,2.0,-117.6
196,25,2014,4.0,4.0,763320.0,89.91422,10.085778,4.727388,4.1578484,0.568,2.0594246,1,-0.14137927,4.0,-117.6
197,25,2015,3.0,3.0,762321.0,89.91422,10.085778,4.727388,4.2106376,0.58,2.0621235,0,-0.13123101,3.0,-117.6
198,25,2016,1.0,1.0,762021.0,89.91422,10.085778,4.727388,4.2625093,0.61,2.0891812,0,-0.12868217,1.0,-117.6
200,26,2010,7.0,6.0,764584.0,98.23836,1.7616397,0.0,4.552857,1.864,0.9940046,0,-0.117694914,7.0,51.5
201,26,2011,2.0,2.0,781247.0,98.23836,1.7616397,0.0,4.6595516,1.942,0.9740837,0,-0.123453766,2.0,51.5
202,26,2012,2.0,2.0,789750.0,98.23836,1.7616397,0.0,4.6924458,1.99,0.97372586,0,-0.12475601,2.0,51.5
204,26,2014,5.0,5.0,812320.0,98.23836,1.7616397,0.0,4.7719507,2.054,0.9565196,1,-0.12563664,5.0,90.6
205,26,2015,3.0,3.0,826716.0,98.23836,1.7616397,0.0,4.8085685,2.076,0.93986326,0,-0.123563915,3.0,90.6
206,26,2016,5.0,3.0,844842.0,98.23836,1.7616397,0.0,4.82583,2.066,0.92443323,0,-0.12332457,5.0,90.6
207,26,2017,1.0,0.0,860620.0,98.23836,1.7616397,0.0,4.867423,2.06,0.91097116,0,-0.12080121,1.0,104.6
208,27,2010,12.0,12.0,1700763.0,73.88096,25.568472,3.9318256,4.0198135,1.08,0.52917427,0,-0.07118794,12.0,-105.0
209,27,2011,12.0,12.0,1753596.0,73.88096,25.568472,3.9318256,4.1427894,1.112,0.5177932,0,-0.075817466,12.0,-105.0
210,27,2012,4.0,4.0,1799558.0,73.88096,25.568472,3.9318256,4.1694922,1.168,0.519572,0,-0.07405621,4.0,-105.0
211,27,2013,9.0,9.0,1844438.0,73.88096,25.568472,3.9318256,4.280359,1.234,0.51506203,1,-0.07170987,9.0,-109.4
212,27,2014,12.0,12.0,1889466.0,73.88096,25.568472,3.9318256,4.3397803,1.296,0.51337254,1,-0.07063846,12.0,-109.4
213,27,2015,13.0,12.0,1931836.0,73.88096,25.568472,3.9318256,4.416656,1.328,0.50211304,0,-0.0698681,13.0,-109.4
214,27,2016,15.0,15.0,1974244.0,73.88096,25.568472,3.9318256,4.4338007,1.332,0.5131078,0,-0.06444614,15.0,-109.4
215,27,2017,11.0,11.0,2005515.0,73.88096,25.568472,3.9318256,4.493878,1.292,0.51208794,0,-0.06282735,11.0,-107.94
217,28,2011,2.0,2.0,419498.0,100.0,0.0,2.0794415,4.0695252,1.152,3.3969173,0,-0.098205835,2.0,93.0
218,28,2012,1.0,1.0,419555.0,100.0,0.0,2.0794415,4.1035695,1.178,3.5513818,0,-0.095987976,1.0,93.0
220,28,2014,3.0,3.0,429984.0,100.0,0.0,2.0794415,4.118594,1.172,3.5908313,1,-0.0990147,3.0,92.6
221,28,2015,6.0,6.0,426686.0,100.0,0.0,2.0794415,4.316055,1.186,3.618586,0,-0.09825304,6.0,92.6
222,28,2016,1.0,1.0,444467.0,100.0,0.0,2.0794415,4.198023,1.2,3.5368204,0,-0.09385845,1.0,92.6
223,28,2017,2.0,2.0,437393.0,100.0,0.0,2.0794415,4.281758,1.196,3.612312,0,-0.09327191,2.0,-97.68
228,29,2014,1.0,1.0,146353.0,100.0,0.0,2.9957323,4.3114843,0.658,3.6418796,1,-0.14623448,1.0,-115.0
240,31,2010,2.0,2.0,1480571.0,44.230022,1.4021523,4.1108737,4.0366592,1.15,0.6348902,0,-0.07042895,2.0,-101.8
241,31,2011,1.0,1.0,1474223.0,44.230022,1.4021523,4.1108737,4.1797175,1.19,0.6450856,0,-0.069297835,1.0,-101.8
242,31,2012,2.0,2.0,1483674.0,44.230022,1.4021523,4.1108737,4.1638083,1.238,0.6618705,0,-0.067791685,2.0,-101.8
243,31,2013,2.0,2.0,1503066.0,44.230022,1.4021523,4.1108737,4.2050147,1.296,0.6659721,1,-0.07006943,2.0,82.4
244,31,2014,9.0,9.0,1519836.0,44.230022,1.4021523,4.1108737,4.2285075,1.334,0.67638874,1,-0.06927054,9.0,82.4
245,31,2015,5.0,5.0,1533507.0,44.230022,1.4021523,4.1108737,4.2884345,1.372,0.67035884,0,-0.065653756,5.0,82.4
247,31,2017,6.0,6.0,1575226.0,44.230022,1.4021523,4.1108737,4.4176645,1.404,0.6811721,0,-0.062403575,6.0,110.32
249,32,2011,1.0,1.0,411245.0,96.436104,0.0,0.0,4.461946,1.226,1.6997167,0,-0.10404074,1.0,-38.7
251,32,2013,1.0,1.0,417774.0,96.436104,0.0,0.0,4.4291835,1.36,1.7114516,1,-0.102053225,1.0,-44.5
254,32,2016,2.0,2.0,427324.0,96.436104,0.0,0.0,4.5439067,1.554,1.7153261,0,-0.10186046,2.0,-44.5
255,32,2017,1.0,1.0,433830.0,96.436104,0.0,0.0,4.55879,1.534,1.6988221,0,-0.10138446,1.0,-76.08
256,33,2010,10.0,9.0,1647899.0,83.73286,14.965773,1.9459101,4.2847815,1.644,0.86959213,0,-0.06238386,10.0,62.0
257,33,2011,10.0,9.0,1667939.0,83.73286,14.965773,1.9459101,4.3697577,1.688,0.86753774,0,-0.06724237,10.0,62.0
258,33,2012,3.0,3.0,1682848.0,83.73286,14.965773,1.9459101,4.4064612,1.786,0.8830269,0,-0.06618868,3.0,62.0
259,33,2013,5.0,5.0,1705774.0,83.73286,14.965773,1.9459101,4.4242086,1.856,0.87877995,1,-0.06602843,5.0,-32.0
260,33,2014,9.0,9.0,1727255.0,83.73286,14.965773,1.9459101,4.467095,1.914,0.88348275,1,-0.06672171,9.0,-32.0
261,33,2015,10.0,9.0,1745221.0,83.73286,14.965773,1.9459101,4.5271597,1.962,0.8743878,0,-0.06584355,10.0,-32.0
262,33,2016,8.0,8.0,1773852.0,83.73286,14.965773,1.9459101,4.5583253,2.012,0.86929464,0,-0.06446496,8.0,-32.0
263,33,2017,5.0,5.0,1793931.0,83.73286,14.965773,1.9459101,4.6051116,2.02,0.86736894,0,-0.06379816,5.0,90.18
264,34,2010,37.0,36.0,13255685.0,87.65423,10.784004,2.9957323,4.986245,1.726,0.23288122,0,-0.046082497,37.0,-88.4
265,34,2011,27.0,24.0,13624240.0,87.65423,10.784004,2.9957323,5.0965643,1.756,0.22848982,0,-0.048843563,27.0,-88.4
266,34,2012,31.0,30.0,13854740.0,87.65423,10.784004,2.9957323,5.122495,1.804,0.23024611,0,-0.04801953,31.0,-88.4
267,34,2013,28.0,26.0,14160467.0,87.65423,10.784004,2.9957323,5.1708393,1.868,0.22760549,1,-0.046464473,28.0,-95.8
268,34,2014,46.0,42.0,14377018.0,87.65423,10.784004,2.9957323,5.1870613,1.926,0.22737677,1,-0.04894334,46.0,-95.8
269,34,2015,34.0,31.0,14657434.0,87.65423,10.784004,2.9957323,5.246823,1.95,0.22630155,0,-0.047354907,34.0,-95.8
270,34,2016,27.0,26.0,14804116.0,87.65423,10.784004,2.9957323,5.2765107,1.954,0.2266937,0,-0.04415655,27.0,-95.8
271,34,2017,37.0,37.0,15029231.0,87.65423,10.784004,2.9957323,5.339387,1.936,0.22642542,0,-0.043720037,37.0,97.6
280,36,2010,1.0,1.0,301766.0,33.109703,65.159454,5.5412636,3.7948122,0.46,1.6171471,0,-0.07830125,1.0,-65.4
281,36,2011,2.0,2.0,305755.0,33.109703,65.159454,5.5412636,3.8606033,0.444,1.5993197,0,-0.08687709,2.0,-65.4
282,36,2012,1.0,1.0,304821.0,33.109703,65.159454,5.5412636,3.916722,0.462,1.6501487,0,-0.080963954,1.0,-65.4
284,36,2014,1.0,1.0,296466.0,33.109703,65.159454,5.5412636,3.9463208,0.478,1.7000263,1,-0.08221136,1.0,-28.4
