,prov_code,prov_name,year,all_wm_prov,knows_wm_prov,total_pop,ethnic_turkish,ethnic_kurdish,ln_casualty,ln_gdppc_cons,divorce_rate_ma5,mosques_perk,ceasefire,fm_diff_educ,count,pol_attitude
125,16,bursa,2015,11,11,2842547,92.019,6.7922735,0.6931472,4.850818,1.784,0.5941854,0,-0.09177977,11,-99.2
126,16,bursa,2016,6,6,2901396,92.019,6.7922735,0.6931472,4.870123,1.826,0.59385204,0,-0.09052646,6,-99.2
127,16,bursa,2017,15,15,2936803,92.019,6.7922735,0.6931472,4.943346,1.844,0.58975697,0,-0.08850315,15,-99.24
128,17,canakkale,2010,3,3,490397,97.75796,2.2420437,0,4.5534596,1.338,1.6252139,0,-0.09021366,3,78.8
129,17,canakkale,2011,0,0,486445,97.75796,2.2420437,0,4.6661577,1.426,1.642529,0,-0.092130005,0,78.8
130,17,canakkale,2012,3,3,493691,97.75796,2.2420437,0,4.6547985,1.55,1.6366513,0,-0.082659855,3,78.8
131,17,canakkale,2013,0,0,502328,97.75796,2.2420437,0,4.6574225,1.618,1.6164737,1,-0.08492944,0,108.8
132,17,canakkale,2014,1,1,511790,97.75796,2.2420437,0,4.6914268,1.63,1.594404,1,-0.087540805,1,108.8
133,17,canakkale,2015,1,1,513341,97.75796,2.2420437,0,4.722859,1.664,1.5895866,0,-0.08691186,1,108.8
134,17,canakkale,2016,0,0,519793,97.75796,2.2420437,0,4.761159,1.708,1.5833226,0,-0.0821121,0,108.8
135,17,canakkale,2017,0,0,530417,97.75796,2.2420437,0,4.807074,1.732,1.5572653,0,-0.08586681,0,121.46
136,18,cankiri,2010,1,1,179067,100,0,0,4.18777,1.014,3.6410952,0,-0.12265676,1,-93.8
137,18,cankiri,2011,1,1,177211,100,0,0,4.3000455,1.03,3.7525887,0,-0.12599665,1,-93.8
138,18,cankiri,2012,1,1,184406,100,0,0,4.290793,1.07,3.882737,0,-0.13387217,1,-93.8
139,18,cankiri,2013,1,1,190909,100,0,0,4.3249393,1.09,3.7766685,1,-0.12763391,1,-108.6
140,18,cankiri,2014,0,0,183550,100,0,0,4.3845615,1.118,3.97167,1,-0.12964682,0,-108.6
141,18,cankiri,2015,0,0,180945,100,0,0,4.4470396,1.1,4.0288486,0,-0.12918659,0,-108.6
142,18,cankiri,2016,0,0,183880,100,0,0,4.4788566,1.104,4.0080485,0,-0.1240354,0,-108.6
143,18,cankiri,2017,0,0,186074,100,0,0,4.4665117,1.086,3.9769125,0,-0.12544575,0,-46.99
144,19,corum,2010,2,1,535405,100,0,0,4.138444,1.276,2.4149942,0,-0.092127874,1,-91.4
145,19,corum,2011,1,1,534578,100,0,0,4.2089925,1.324,2.4187303,0,-0.09886901,1,-91.4
146,19,corum,2012,2,2,529975,100,0,0,4.205148,1.386,2.4642673,0,-0.09943569,2,-91.4
147,19,corum,2013,3,3,532080,100,0,0,4.232025,1.394,2.463915,1,-0.09896383,3,-101.4
148,19,corum,2014,3,3,527220,100,0,0,4.2612724,1.458,2.4904215,1,-0.10101347,3,-101.4
149,19,corum,2015,3,3,525180,100,0,0,4.3170986,1.446,2.5000951,0,-0.09951115,3,-101.4
150,19,corum,2016,4,4,527863,100,0,0,4.344905,1.468,2.5006487,0,-0.09770043,4,-101.4
151,19,corum,2017,1,1,528422,100,0,0,4.3861046,1.436,2.5131428,0,-0.0950717,1,-86.56
152,20,denizli,2010,3,3,931823,96.826035,3.1739645,0,4.3815317,2.116,1.2588228,0,-0.056118608,3,-80
153,20,denizli,2011,6,6,942278,96.826035,3.1739645,0,4.514135,2.148,1.2533456,0,-0.0606509,6,-80
154,20,denizli,2012,0,0,950557,96.826035,3.1739645,0,4.5297813,2.194,1.2487415,0,-0.057073727,0,-80
155,20,denizli,2013,4,4,963464,96.826035,3.1739645,0,4.5824833,2.28,1.2351266,1,-0.05745265,4,-90.6
156,20,denizli,2014,3,3,978700,96.826035,3.1739645,0,4.6204276,2.336,1.2220292,1,-0.058599085,3,-90.6
157,20,denizli,2015,2,2,993442,96.826035,3.1739645,0,4.6312523,2.328,1.2038951,0,-0.060492426,2,-90.6
158,20,denizli,2016,3,2,1005687,96.826035,3.1739645,0,4.677052,2.32,1.1981859,0,-0.058745205,2,-90.6
159,20,denizli,2017,5,5,1018735,96.826035,3.1739645,0,4.741868,2.322,1.191674,0,-0.059099317,5,-101.12
160,21,diyarbakir,2010,7,7,1528958,13.518223,86.48177,7.5299435,3.7504244,0.354,1.1347598,0,-0.095155545,7,0
161,21,diyarbakir,2011,3,3,1570943,13.518223,86.48177,7.5299435,3.8511007,0.372,1.1209828,0,-0.105744764,3,0
162,21,diyarbakir,2012,7,7,1592167,13.518223,86.48177,7.5299435,3.8881574,0.392,1.2216055,0,-0.10279806,7,0
163,21,diyarbakir,2013,10,10,1607437,13.518223,86.48177,7.5299435,3.9431145,0.426,1.223065,1,-0.09982729,10,0
164,21,diyarbakir,2014,4,4,1635048,13.518223,86.48177,7.5299435,3.959482,0.45,1.2036344,1,-0.10052511,4,0
165,21,diyarbakir,2015,7,7,1654196,13.518223,86.48177,7.5299435,4.004107,0.464,1.2114646,0,-0.09839186,7,0
166,21,diyarbakir,2016,3,3,1673119,13.518223,86.48177,7.5299435,4.0304484,0.466,1.2019467,0,-0.09557715,3,0
167,21,diyarbakir,2017,5,5,1699901,13.518223,86.48177,7.5299435,4.0682225,0.47,1.1912458,0,-0.09479064,5,0
168,22,edirne,2010,2,2,390428,78.87033,0,0,4.438927,1.462,0.99890375,0,-0.059556708,2,114.2
169,22,edirne,2011,1,1,399316,78.87033,0,0,4.476826,1.526,0.9766701,0,-0.06701583,1,114.2
170,22,edirne,2012,0,0,399708,78.87033,0,0,4.502176,1.596,0.98071593,0,-0.061539054,0,114.2
171,22,edirne,2013,2,2,398582,78.87033,0,0,4.529111,1.612,0.9809776,1,-0.06211579,2,73.8
172,22,edirne,2014,3,3,400280,78.87033,0,0,4.5668097,1.622,0.99180573,1,-0.06655297,3,73.8
173,22,edirne,2015,2,2,402537,78.87033,0,0,4.5807457,1.628,0.98624474,0,-0.061444998,2,73.8
174,22,edirne,2016,2,2,401701,78.87033,0,0,4.6015344,1.65,1.0007443,0,-0.071741104,2,73.8
175,22,edirne,2017,2,2,406855,78.87033,0,0,4.617132,1.632,0.9905249,0,-0.06677821,2,89.74
176,23,elazig,2010,0,0,552646,52.16184,47.83816,5.3375382,4.0908766,1.08,1.69367,0,-0.13999462,0,-95.6
177,23,elazig,2011,4,4,558556,52.16184,47.83816,5.3375382,4.171932,1.076,1.6954433,0,-0.15038322,4,-95.6
178,23,elazig,2012,2,2,562703,52.16184,47.83816,5.3375382,4.2104135,1.054,1.7149366,0,-0.14963853,2,-95.6
179,23,elazig,2013,3,3,568239,52.16184,47.83816,5.3375382,4.238261,1.108,1.708788,1,-0.14652725,3,-111.6
180,23,elazig,2014,1,1,568753,52.16184,47.83816,5.3375382,4.248102,1.132,1.6984526,1,-0.14656226,1,-111.6
181,23,elazig,2015,1,1,574304,52.16184,47.83816,5.3375382,4.2946377,1.124,1.682036,0,-0.15082319,1,-111.6
182,23,elazig,2016,4,4,578789,52.16184,47.83816,5.3375382,4.320339,1.114,1.6949182,0,-0.14964724,4,-111.6
183,23,elazig,2017,2,2,583671,52.16184,47.83816,5.3375382,4.360137,1.1,1.6944478,0,-0.14547259,2,-80.76
184,24,erzincan,2010,1,1,224949,74.11515,25.884853,5.0238805,4.3327394,1.05,2.4672258,0,-0.13605244,1,-102.6
185,24,erzincan,2011,0,0,215277,74.11515,25.884853,5.0238805,4.509616,1.068,2.5873642,0,-0.13390444,0,-102.6
186,24,erzincan,2012,1,1,217886,74.11515,25.884853,5.0238805,4.5625615,1.076,2.593099,0,-0.12949583,1,-102.6
187,24,erzincan,2013,2,2,219996,74.11515,25.884853,5.0238805,4.567525,1.126,2.5955017,1,-0.13199343,2,-109.4
188,24,erzincan,2014,0,0,223633,74.11515,25.884853,5.0238805,4.5435896,1.168,2.5711768,1,-0.12808624,0,-109.4
189,24,erzincan,2015,1,1,222918,74.11515,25.884853,5.0238805,4.5461855,1.146,2.579424,0,-0.1291135,1,-109.4
190,24,erzincan,2016,1,1,226032,74.11515,25.884853,5.0238805,4.5718765,1.13,2.5483117,0,-0.121268034,1,-109.4
191,24,erzincan,2017,0,0,231511,74.11515,25.884853,5.0238805,4.625414,1.216,2.5139194,0,-0.13138482,0,-42.36
192,25,erzurum,2010,1,1,769085,89.91422,10.085778,4.727388,3.966271,0.438,1.9490694,0,-0.12461251,1,-113.6
193,25,erzurum,2011,0,0,780847,89.91422,10.085778,4.727388,4.03749,0.47,1.9389201,0,-0.13010335,0,-113.6
194,25,erzurum,2012,1,1,778195,89.91422,10.085778,4.727388,4.0680137,0.506,1.9879336,0,-0.13000569,1,-113.6
195,25,erzurum,2013,2,2,766729,89.91422,10.085778,4.727388,4.1279407,0.538,2.0359213,1,-0.12804809,2,-117.6
196,25,erzurum,2014,4,4,763320,89.91422,10.085778,4.727388,4.1578484,0.568,2.0594246,1,-0.14137927,4,-117.6
197,25,erzurum,2015,3,3,762321,89.91422,10.085778,4.727388,4.2106376,0.58,2.0621235,0,-0.13123101,3,-117.6
198,25,erzurum,2016,1,1,762021,89.91422,10.085778,4.727388,4.2625093,0.61,2.0891812,0,-0.12868217,1,-117.6
199,25,erzurum,2017,0,0,760476,89.91422,10.085778,4.727388,4.3137116,0.604,2.0960557,0,-0.12239158,0,-125.6
200,26,eskisehir,2010,7,6,764584,98.23836,1.7616397,0,4.552857,1.864,0.9940046,0,-0.117694914,6,51.5
201,26,eskisehir,2011,2,2,781247,98.23836,1.7616397,0,4.6595516,1.942,0.9740837,0,-0.123453766,2,51.5
202,26,eskisehir,2012,2,2,789750,98.23836,1.7616397,0,4.6924458,1.99,0.97372586,0,-0.12475601,2,51.5
203,26,eskisehir,2013,0,0,799724,98.23836,1.7616397,0,4.7658396,2.014,0.9690843,1,-0.12537271,0,90.6
204,26,eskisehir,2014,5,5,812320,98.23836,1.7616397,0,4.7719507,2.054,0.9565196,1,-0.12563664,5,90.6
205,26,eskisehir,2015,3,3,826716,98.23836,1.7616397,0,4.8085685,2.076,0.93986326,0,-0.123563915,3,90.6
206,26,eskisehir,2016,5,3,844842,98.23836,1.7616397,0,4.82583,2.066,0.92443323,0,-0.12332457,3,90.6
207,26,eskisehir,2017,1,0,860620,98.23836,1.7616397,0,4.867423,2.06,0.91097116,0,-0.12080121,0,104.6
208,27,gaziantep,2010,12,12,1700763,73.88096,25.568472,3.9318256,4.0198135,1.08,0.52917427,0,-0.07118794,12,-105
209,27,gaziantep,2011,12,12,1753596,73.88096,25.568472,3.9318256,4.1427894,1.112,0.5177932,0,-0.075817466,12,-105
210,27,gaziantep,2012,4,4,1799558,73.88096,25.568472,3.9318256,4.1694922,1.168,0.519572,0,-0.07405621,4,-105
211,27,gaziantep,2013,9,9,1844438,73.88096,25.568472,3.9318256,4.280359,1.234,0.51506203,1,-0.07170987,9,-109.4
212,27,gaziantep,2014,12,12,1889466,73.88096,25.568472,3.9318256,4.3397803,1.296,0.51337254,1,-0.07063846,12,-109.4
213,27,gaziantep,2015,13,12,1931836,73.88096,25.568472,3.9318256,4.416656,1.328,0.50211304,0,-0.0698681,12,-109.4
